CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/04/2019,16:35,,,40.72857,-73.85809,"(40.72857, -73.85809)",QUEENS BOULEVARD                ,65 ROAD,,0,1,0,0,0,1,0,0,Illnes,,,,,4108883,Bike,,,,
04/17/2019,17:31,,,40.630672,-73.981895,"(40.630672, -73.981895)",47 STREET                       ,,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4116560,Box Truck,Bike,,,
03/14/2019,7:52,QUEENS,11101,40.74223,-73.95885,"(40.74223, -73.95885)",BORDEN AVENUE                   ,2 STREET,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4096754,Sedan,Bike,,,
02/04/2019,5:50,MANHATTAN,10036,40.759163,-73.988396,"(40.759163, -73.988396)",8 AVENUE                        ,WEST 45 STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4074720,Tanker,Bike,,,
02/28/2019,23:36,BROOKLYN,11211,40.70801,-73.95673,"(40.70801, -73.95673)",BROADWAY                        ,RODNEY STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4091103,Tanker,Bike,,,
01/26/2019,18:48,BROOKLYN,11223,40.60438,-73.973976,"(40.60438, -73.973976)",KINGS HIGHWAY                   ,VAN SICKLEN STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4069339,Station Wagon/Sport Utility Vehicle,Bike,,,
01/04/2019,3:55,BROOKLYN,11208,40.668667,-73.868324,"(40.668667, -73.868324)",LINDEN BOULEVARD                ,CRESCENT STREET,,0,1,0,0,0,1,0,0,Unsafe Speed,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4061640,Van,Bike,,,
01/01/2019,5:59,BROOKLYN,11232,40.661163,-74.00069,"(40.661163, -74.00069)",3 AVENUE                        ,26 STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Other Vehicular,Unspecified,,,4060483,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
09/01/2018,16:24,BRONX,10457,40.846825,-73.89705,"(40.846825, -73.89705)",BATHGATE AVENUE                 ,EAST TREMONT AVENUE,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3973645,Bike,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
08/10/2018,16:42,,,40.772415,-73.97874,"(40.772415, -73.97874)",CENTRAL PARK WEST               ,,,0,1,0,0,0,1,0,0,Alcohol Involvement,Reaction to Uninvolved Vehicle,,,,3959009,Bike,Garbage or Refuse,,,
07/23/2018,23:07,QUEENS,11105,40.77309,-73.91108,"(40.77309, -73.91108)",35 STREET                       ,23 AVENUE,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,3947274,Bike,Station Wagon/Sport Utility Vehicle,,,
06/18/2018,11:20,BROOKLYN,11233,40.67611,-73.905594,"(40.67611, -73.905594)",,,2402      ATLANTIC AVENUE               ,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3925115,Taxi,Bike,Station Wagon/Sport Utility Vehicle,,
06/17/2018,13:05,,,40.709602,-73.991936,"(40.709602, -73.991936)",MANHATTAN BRIDGE                ,,,0,1,0,0,0,1,0,0,Lost Consciousness,,,,,3923395,Bike,,,,
05/29/2018,14:53,,,40.745975,-73.948074,"(40.745975, -73.948074)",21 STREET                       ,,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3911255,Sedan,Bike,Box Truck,,
04/23/2018,22:38,,,40.844524,-73.902725,"(40.844524, -73.902725)",WEBSTER AVENUE                  ,CROSS BRONX EXPRESSWAY,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,3886477,Box Truck,Bike,,,
04/16/2018,20:23,MANHATTAN,10016,,,,tunnel exit street              ,east 39 street,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,3882891,Bike,Taxi,,,
04/20/2018,21:37,MANHATTAN,10027,40.813347,-73.958626,"(40.813347, -73.958626)",,,75        LASALLE STREET                ,0,1,0,0,0,1,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3886232,Station Wagon/Sport Utility Vehicle,Bike,,,
01/26/2018,17:29,BROOKLYN,11221,40.684963,-73.935455,"(40.684963, -73.935455)",LEWIS AVENUE                    ,JEFFERSON AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,3835682,Tanker,Bike,,,
12/18/2017,7:47,QUEENS,11378,,,,48 STREET                       ,LONG ISLAND EXPRESSWAY,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3812359,Bike,Tractor Truck Diesel,,,
12/19/2017,11:50,,,40.71453,-73.9444,"(40.71453, -73.9444)",METROPOLITAN AVENUE             ,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3814211,Tractor Truck Diesel,Bike,,,
11/17/2017,14:43,QUEENS,11374,40.719543,-73.85914,"(40.719543, -73.85914)",FLEET STREET                    ,ALDERTON STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3794170,Sedan,Bike,,,
11/28/2017,13:49,MANHATTAN,10001,,,,11 AVENUE                       ,WEST 30 STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3799402,Sedan,Bike,,,
